Nombre	Categoría	Subcategoría	Descripción	Fotos	Horarios	Ubicación
Modas Lis	Compras y Comercio	Indumentaria	Tienda de ropa y moda.			
Energía	Compras y Comercio	Indumentaria	Tienda de indumentaria.			
Morena Kids	Compras y Comercio	Indumentaria	Ropa infantil y para niños.			
Jazmín	Compras y Comercio	Indumentaria	Tienda de indumentaria.			
Cereza Jeans	Compras y Comercio	Indumentaria	Especialistas en indumentaria de denim y jeans.			
Como te ven te tratan	Compras y Comercio	Indumentaria	Tienda de indumentaria y moda.			
Mercado Deportivo	Compras y Comercio	Indumentaria	Ropa y accesorios deportivos.			
Florentina	Gastronomía y Alimentos	Supermercados	Supermercado y abastecimiento general.			
Almacor	Gastronomía y Alimentos	Supermercados	Cadena de supermercados.			
Verdulería Vanesa	Gastronomía y Alimentos	Frescos	Frutas y verduras frescas (Verdulería).			
Verdulería Pera Loca	Gastronomía y Alimentos	Frescos	Frutas y verduras frescas (Verdulería).			
Carnicería García	Gastronomía y Alimentos	Frescos	Cortes de carne y embutidos (Carnicería).			
Carnicería Central	Gastronomía y Alimentos	Frescos	Cortes de carne y embutidos (Carnicería).			
Don Pedro	Gastronomía y Alimentos	Abastecimiento	Almacén de barrio y alimentos.			
Panadería Falappa	Gastronomía y Alimentos	Frescos	Panificados y facturas artesanales (Panadería).			
Panadería Santa Ana	Gastronomía y Alimentos	Frescos	Panificados y repostería (Panadería).			
La Nona Tita	Gastronomía y Alimentos	Frescos	Especialidades en panadería tradicional.			
Panadería 9 de Julio	Gastronomía y Alimentos	Frescos	Panificados frescos todos los días.			
Kioskocho	Gastronomía y Alimentos	Abastecimiento	Kiosco con variedad de productos.			
Kiosko El Pulpo	Gastronomía y Alimentos	Abastecimiento	Kiosco y golosinas.			
La Casona	Gastronomía y Alimentos	Abastecimiento	Almacén y ramos generales.			
La vieja esquina	Gastronomía y Alimentos	Abastecimiento	Almacén tradicional de barrio.			
Chupelupe	Gastronomía y Alimentos	Abastecimiento	Kiosco y golosinas.			
Del Valle Almacén Saludable	Gastronomía y Alimentos	Abastecimiento	Productos dietéticos y naturales.			
